                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.95155,                0.70799,                 1.1354,                0.87809,                   0.84,                0.90124,                 0.6346,                 1.0024,                0.76951,                 1.1773,              0.0006734,              0.0006734,              0.0006734
                     70,                0.91808,                0.68507,                 1.1275,                0.87361,                0.78947,                0.89527,                0.64748,                0.98556,                0.76686,                 1.1671,              0.0006536,              0.0006536,              0.0006536
                     71,                0.91773,                0.68403,                 1.1238,                0.87773,                0.83053,                0.89507,                0.64841,                0.99988,                0.76327,                 1.1831,              0.0006338,              0.0006338,              0.0006338
                     72,                0.92819,                 0.7156,                 1.1315,                0.85444,                0.76622,                0.88194,                0.63205,                0.99708,                0.78125,                 1.1804,               0.000614,               0.000614,               0.000614
                     73,                0.89855,                0.69395,                 1.1188,                0.80841,                0.78842,                0.86386,                0.61548,                 1.0232,                 0.8924,                 1.2055,              0.0005942,              0.0005942,              0.0005942
                     74,                0.92863,                0.69295,                 1.1238,                0.87686,                0.77579,                0.88537,                0.63843,                 1.0008,                0.81665,                 1.1795,              0.0005744,              0.0005744,              0.0005744
                     75,                0.88935,                0.65458,                 1.1106,                0.86622,                0.79062,                 0.8779,                0.63154,                0.97546,                0.79832,                 1.1712,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.9196,                0.67184,                 1.1269,                0.89665,                0.79449,                0.90033,                 0.6483,                0.97149,                0.74321,                 1.1534,              0.0005348,              0.0005348,              0.0005348
                     77,                0.90695,                0.68488,                 1.1234,                0.85511,                0.81385,                0.89496,                 0.6531,                0.95589,                0.77685,                 1.1525,               0.000515,               0.000515,               0.000515
                     78,                0.89159,                  0.658,                 1.1111,                0.84709,                    0.8,                0.89441,                0.64456,                0.98375,                0.77997,                 1.1704,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.8816,                0.64869,                 1.1012,                0.83988,                0.81714,                0.89785,                0.64807,                 0.9713,                0.74631,                 1.1622,              0.0004754,              0.0004754,              0.0004754
                     80,                0.89974,                0.65497,                 1.1122,                0.85744,                0.81684,                0.89655,                0.64913,                0.95572,                0.77154,                 1.1571,              0.0004556,              0.0004556,              0.0004556
                     81,                0.89252,                0.66526,                 1.1056,                0.86249,                0.82316,                0.90081,                0.64987,                0.95507,                0.74073,                 1.1604,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.8568,                0.62692,                 1.1089,                0.85711,                0.81449,                0.89623,                 0.6521,                0.96246,                0.75413,                 1.1652,               0.000416,               0.000416,               0.000416
                     83,                0.85801,                0.64605,                  1.092,                0.88816,                0.80737,                0.90387,                 0.6609,                0.95643,                0.72384,                 1.1674,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.8649,                0.62254,                 1.0837,                0.91554,                0.78947,                 0.8931,                0.65143,                0.96068,                0.75198,                 1.1698,              0.0003764,              0.0003764,              0.0003764
                     85,                0.87629,                 0.6319,                 1.1017,                0.86862,                0.80727,                0.89753,                0.65231,                0.96962,                0.74643,                 1.1817,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.8498,                0.62248,                 1.0807,                0.88172,                0.82389,                0.90954,                0.64867,                 1.0118,                0.72626,                 1.2266,              0.0003368,              0.0003368,              0.0003368
                     87,                0.87992,                0.62098,                 1.0963,                0.87712,                0.83401,                0.90605,                 0.6574,                0.97158,                0.72796,                 1.1603,               0.000317,               0.000317,               0.000317
                     88,                0.86133,                0.61667,                 1.0922,                 0.9144,                0.79833,                 0.9039,                0.66435,                0.94327,                0.70883,                 1.1505,              0.0002972,              0.0002972,              0.0002972
                     89,                0.80557,                0.57525,                 1.0573,                 0.9071,                0.82316,                0.90645,                0.66548,                0.95622,                0.71598,                 1.1602,              0.0002774,              0.0002774,              0.0002774
                     90,                0.83388,                0.61093,                 1.0869,                0.89708,                0.82316,                0.90604,                0.66635,                0.96619,                0.72635,                 1.1716,              0.0002576,              0.0002576,              0.0002576
                     91,                0.75986,                0.49622,                 1.0212,                 0.9006,                0.83053,                0.90429,                0.66498,                0.95718,                0.70958,                 1.1648,              0.0002378,              0.0002378,              0.0002378
                     92,                0.73902,                0.48072,                 1.0138,                0.88683,                 0.8414,                0.90095,                0.66131,                0.95101,                0.75083,                 1.1625,               0.000218,               0.000218,               0.000218
                     93,                0.75183,                0.47995,                 1.0259,                0.92043,                0.82421,                0.90604,                0.67606,                0.93051,                0.71804,                 1.1379,              0.0001982,              0.0001982,              0.0001982
                     94,                0.72951,                0.46882,                0.99521,                0.90818,                0.81211,                0.89513,                0.66504,                0.94038,                0.74806,                 1.1559,              0.0001784,              0.0001784,              0.0001784
                     95,                0.72274,                0.46316,                0.99795,                0.93764,                0.81684,                0.90717,                0.66883,                0.94306,                0.71239,                 1.1576,              0.0001586,              0.0001586,              0.0001586
                     96,                0.73119,                0.46025,                0.99073,                 0.9168,                0.82356,                0.90184,                0.66587,                0.94188,                  0.723,                 1.1641,              0.0001388,              0.0001388,              0.0001388
                     97,                0.71439,                0.44172,                0.99834,                0.90748,                0.82595,                0.90332,                0.66935,                 0.9467,                0.72007,                 1.1599,               0.000119,               0.000119,               0.000119
                     98,                0.71346,                0.44168,                0.99454,                 0.9042,                0.83158,                0.90478,                 0.6729,                0.92973,                0.72449,                 1.1439,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.71457,                0.43623,                0.99828,                0.90248,                0.82842,                0.90202,                0.67038,                0.93937,                0.72235,                 1.1473,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.69592,                0.43039,                0.98758,                0.90543,                0.82316,                0.90071,                0.66998,                0.94061,                0.73077,                 1.1498,               5.96e-05,               5.96e-05,               5.96e-05
